iter	RMSE
0	806.1831957
1	731.4624902
2	675.7875163
3	604.3612577
4	558.8309816
5	502.6913863
6	459.8729215
7	402.9147378
8	357.6546773
9	329.1291575
10	295.4280348
11	269.8255895
12	244.2308964
13	222.7273598
14	205.8114786
15	186.5175181
16	171.9732421
17	158.8203582
18	146.9088309
19	135.9545927
20	125.7579978
21	116.3272012
22	107.6045673
23	99.53422445
24	92.07028618
25	85.16624011
26	78.78080426
27	72.8736676
28	67.4096889
29	62.35312186
30	57.67809896
31	53.35151813
32	49.35154408
33	45.64955499
34	42.22531662
35	39.05798114
36	36.12826701
37	33.41834103
38	30.91170941
39	28.59311696
40	26.44845393
41	24.46466994
42	22.62969431
43	20.93236241
44	19.36234763
45	17.9100984
46	16.56677997
47	15.32422057
48	14.17486164
49	13.11171178
50	12.12830417
51	11.21865717
52	10.37723795
53	9.59892876
54	8.878995788
55	8.213060355
56	7.597072262
57	7.027285137
58	6.500233644
59	6.012712391
60	5.56175643
61	5.144623218
62	4.75877593
63	4.401868025
64	4.071728974
65	3.766351055
66	3.483877141
67	3.222589399
68	2.980898847
69	2.757335687
70	2.550540364
71	2.359255297
72	2.182317231
73	2.018650164
74	1.867258797
75	1.727222487
76	1.597689645
77	1.477872557
78	1.367042594
79	1.26452578
80	1.169698692
81	1.08196021
82	1.000824122
83	0.9257532702
84	0.856314959
85	0.7920991431
86	0.7326861474
87	0.6777307332
88	0.6269063554
89	0.5798851774
90	0.536398532
91	0.4961660285
92	0.4589519575
93	0.4245337423
94	0.3926924208
95	0.3632432522
96	0.3359989709
97	0.3108014561
98	0.2874905048
99	0.2659284183
100	0.2459853162
101	0.2275362061
102	0.2104723114
103	0.1946867406
104	0.1800863792
105	0.1665797993
106	0.1540873086
107	0.1425306915
108	0.1318417567
109	0.1219535782
110	0.1128078186
111	0.1043472001
112	0.09652132988
113	0.08928266564
114	0.08258662516
115	0.07639300393
116	0.0706636769
117	0.06536422565
118	0.06046204548
119	0.05592767282
120	0.05173322266
121	0.0478534742
122	0.04426457777
123	0.04094494549
124	0.03787417803
125	0.03503379807
126	0.03240635658
127	0.02997603942
128	0.02772792041
129	0.02564846544
130	0.02372490574
131	0.02194565917
132	0.0202998019
133	0.01877742283
134	0.01736917593
135	0.01606658056
136	0.01486164014
137	0.0137470985
138	0.01271611316
139	0.01176247609
140	0.01088033195
141	0.01006436985
142	0.009309578736
143	0.008611415619
144	0.007965591643
145	0.007368221026
146	0.006815632678
147	0.006304503291
148	0.005831690231
149	0.005394351562
