iter	Passed	Remaining
0	140	20886
1	142	10546
2	144	7095
3	146	5363
4	149	4321
5	151	3626
6	153	3141
7	156	2769
8	158	2479
9	160	2252
10	163	2064
11	165	1906
12	168	1773
13	170	1656
14	172	1553
15	174	1464
16	177	1388
17	179	1316
18	181	1252
19	183	1195
20	195	1200
21	197	1150
22	200	1104
23	202	1062
24	204	1022
25	206	986
26	209	953
27	211	920
28	213	890
29	215	862
30	217	836
31	220	812
32	222	789
33	225	767
34	227	746
35	229	725
36	231	706
37	233	688
38	235	671
39	238	654
40	240	639
41	242	624
42	244	609
43	246	594
44	249	581
45	251	568
46	253	555
47	256	544
48	258	532
49	260	520
50	262	509
51	264	498
52	266	488
53	268	477
54	271	468
55	273	458
56	275	449
57	277	440
58	280	432
59	282	423
60	284	415
61	286	407
62	289	399
63	291	391
64	293	384
65	296	377
66	298	369
67	300	362
68	302	355
69	304	348
70	307	341
71	309	335
72	311	328
73	314	322
74	317	317
75	320	311
76	323	306
77	326	301
78	329	295
79	332	290
80	335	285
81	338	280
82	340	275
83	343	270
84	347	265
85	349	260
86	353	255
87	356	251
88	359	246
89	362	241
90	366	237
91	369	232
92	371	227
93	374	223
94	378	219
95	381	214
96	383	209
97	386	205
98	389	200
99	392	196
100	395	191
101	398	187
102	400	182
103	404	178
104	406	174
105	409	169
106	411	165
107	414	161
108	417	156
109	420	152
110	422	148
111	425	144
112	428	140
113	430	135
114	433	131
115	435	127
116	438	123
117	440	119
118	443	115
119	445	111
120	447	107
121	450	103
122	453	99
123	455	95
124	457	91
125	460	87
126	462	83
127	465	79
128	467	76
129	469	72
130	471	68
131	478	65
132	480	61
133	483	57
134	485	53
135	487	50
136	489	46
137	491	42
138	494	39
139	496	35
140	498	31
141	500	28
142	502	24
143	505	21
144	507	17
145	509	13
146	511	10
147	514	6
148	516	3
149	519	0
